"","time","comp","scenario","val2","var","value","lab"
"1",1,"I","15% detected, Asymp RR=0.25",409.5,"Total",693,"Cumulative cases"
"2",1,"I","15% detected, Asymp RR=0.5",234,"Total",396,"Cumulative cases"
"3",1,"I","2% detected, Asymp RR=0.25",3919.5,"Total",6633,"Cumulative cases"
"4",1,"I","2% detected, Asymp RR=0.5",2164.5,"Total",3663,"Cumulative cases"
"5",1,"I","5% detected, Asymp RR=0.25",1462.5,"Total",2475,"Cumulative cases"
"6",1,"I","5% detected, Asymp RR=0.5",760.5,"Total",1287,"Cumulative cases"
"7",2,"I","15% detected, Asymp RR=0.25",510.009260045629,"Total",864.561598634378,"Cumulative cases"
"8",2,"I","15% detected, Asymp RR=0.5",293.616431462268,"Total",498.301157674768,"Cumulative cases"
"9",2,"I","2% detected, Asymp RR=0.25",4881.28759649201,"Total",8274.68714395061,"Cumulative cases"
"10",2,"I","2% detected, Asymp RR=0.5",2715.86948518652,"Total",4609.13829250019,"Cumulative cases"
"11",2,"I","5% detected, Asymp RR=0.25",1821.43593695431,"Total",3087.67493878579,"Cumulative cases"
"12",2,"I","5% detected, Asymp RR=0.5",954.245495689105,"Total",1619.4646354855,"Cumulative cases"
"13",3,"I","15% detected, Asymp RR=0.25",645.520162212957,"Total",1098.1016575812,"Cumulative cases"
"14",3,"I","15% detected, Asymp RR=0.5",377.594932157924,"Total",644.521215061136,"Cumulative cases"
"15",3,"I","2% detected, Asymp RR=0.25",6177.43588115487,"Total",10508.444502636,"Cumulative cases"
"16",3,"I","2% detected, Asymp RR=0.5",3492.33946627778,"Total",5961.07813143297,"Cumulative cases"
"17",3,"I","5% detected, Asymp RR=0.25",2305.30438530515,"Total",3921.57249320704,"Cumulative cases"
"18",3,"I","5% detected, Asymp RR=0.5",1227.14388357765,"Total",2094.62272710323,"Cumulative cases"
"19",4,"I","15% detected, Asymp RR=0.25",815.982646996757,"Total",1393.48640047073,"Cumulative cases"
"20",4,"I","15% detected, Asymp RR=0.5",486.576030773965,"Total",835.833711480123,"Cumulative cases"
"21",4,"I","2% detected, Asymp RR=0.25",7807.04346086356,"Total",13332.243002043,"Cumulative cases"
"22",4,"I","2% detected, Asymp RR=0.5",4499.64653322787,"Total",7729.32914093897,"Cumulative cases"
"23",4,"I","5% detected, Asymp RR=0.25",2913.87922105775,"Total",4976.13095737311,"Cumulative cases"
"24",4,"I","5% detected, Asymp RR=0.5",1581.25882279791,"Total",2716.25513076308,"Cumulative cases"
"25",5,"I","15% detected, Asymp RR=0.25",1024.57877457945,"Total",1756.29020157715,"Cumulative cases"
"26",5,"I","15% detected, Asymp RR=0.5",623.785234173425,"Total",1078.0819408154,"Cumulative cases"
"27",5,"I","2% detected, Asymp RR=0.25",9799.8926327388,"Total",16798.2410467623,"Cumulative cases"
"28",5,"I","2% detected, Asymp RR=0.5",5767.30807401947,"Total",9967.35591183557,"Cumulative cases"
"29",5,"I","5% detected, Asymp RR=0.25",3658.4492665837,"Total",6271.12459633018,"Cumulative cases"
"30",5,"I","5% detected, Asymp RR=0.5",2027.04264126433,"Total",3503.2963271386,"Cumulative cases"
"31",6,"I","15% detected, Asymp RR=0.25",1276.93112059635,"Total",2196.39794723919,"Cumulative cases"
"32",6,"I","15% detected, Asymp RR=0.5",794.530284256548,"Total",1380.87406760745,"Cumulative cases"
"33",6,"I","2% detected, Asymp RR=0.25",12208.7437529995,"Total",20999.1778364674,"Cumulative cases"
"34",6,"I","2% detected, Asymp RR=0.5",7343.89269468833,"Total",12763.0605862786,"Cumulative cases"
"35",6,"I","5% detected, Asymp RR=0.25",4558.97659376212,"Total",7841.6462069906,"Cumulative cases"
"36",6,"I","5% detected, Asymp RR=0.5",2581.69480060791,"Total",4486.87938281312,"Cumulative cases"
"37",7,"I","15% detected, Asymp RR=0.25",1580.79348693051,"Total",2727.45829353309,"Cumulative cases"
"38",7,"I","15% detected, Asymp RR=0.5",1006.0948620451,"Total",1757.39434959867,"Cumulative cases"
"39",7,"I","2% detected, Asymp RR=0.25",15106.1900135174,"Total",26062.8113114196,"Cumulative cases"
"40",7,"I","2% detected, Asymp RR=0.5",9295.91519065554,"Total",16236.8101336836,"Cumulative cases"
"41",7,"I","5% detected, Asymp RR=0.25",5642.97102246398,"Total",9736.11728429345,"Cumulative cases"
"42",7,"I","5% detected, Asymp RR=0.5",3268.80468765589,"Total",5709.70057212192,"Cumulative cases"
"43",8,"I","15% detected, Asymp RR=0.25",1946.0360890266,"Total",3366.85650476333,"Cumulative cases"
"44",8,"I","15% detected, Asymp RR=0.5",1267.88572653606,"Total",2224.6721907568,"Cumulative cases"
"45",8,"I","2% detected, Asymp RR=0.25",18584.2449579747,"Total",32151.1765249289,"Cumulative cases"
"46",8,"I","2% detected, Asymp RR=0.5",11709.0078264907,"Total",20543.5718894708,"Cumulative cases"
"47",8,"I","5% detected, Asymp RR=0.25",6945.40651407885,"Total",12016.1363817912,"Cumulative cases"
"48",8,"I","5% detected, Asymp RR=0.5",4118.81148094672,"Total",7226.85966615759,"Cumulative cases"
"49",9,"I","15% detected, Asymp RR=0.25",2384.82581571774,"Total",4136.03151589598,"Cumulative cases"
"50",9,"I","15% detected, Asymp RR=0.5",1591.76532442465,"Total",2804.18641503631,"Cumulative cases"
"51",9,"I","2% detected, Asymp RR=0.25",22755.6719262481,"Total",39462.915923223,"Cumulative cases"
"52",9,"I","2% detected, Asymp RR=0.5",14690.7018739599,"Total",25877.9534129889,"Cumulative cases"
"53",9,"I","5% detected, Asymp RR=0.25",8509.31990077526,"Total",14757.5312977378,"Cumulative cases"
"54",9,"I","5% detected, Asymp RR=0.5",5170.05654155036,"Total",9107.77055527098,"Cumulative cases"
"55",10,"I","15% detected, Asymp RR=0.25",2911.95238601371,"Total",5061.05044369388,"Cumulative cases"
"56",10,"I","15% detected, Asymp RR=0.5",1992.54458325109,"Total",3522.75926716469,"Cumulative cases"
"57",10,"I","2% detected, Asymp RR=0.25",27756.5290679834,"Total",48237.7518509079,"Cumulative cases"
"58",10,"I","2% detected, Asymp RR=0.5",18374.5287979137,"Total",32481.6199621287,"Cumulative cases"
"59",10,"I","5% detected, Asymp RR=0.25",10386.9097945327,"Total",18052.2935490886,"Cumulative cases"
"60",10,"I","5% detected, Asymp RR=0.5",6470.3405599786,"Total",11438.9839155271,"Cumulative cases"
"61",11,"I","15% detected, Asymp RR=0.25",3545.28028849938,"Total",6173.4050227563,"Cumulative cases"
"62",11,"I","15% detected, Asymp RR=0.5",2488.63625218656,"Total",4413.74097979481,"Cumulative cases"
"63",11,"I","2% detected, Asymp RR=0.25",33749.6584982049,"Total",58762.6208169647,"Cumulative cases"
"64",11,"I","2% detected, Asymp RR=0.5",22925.3581369336,"Total",40652.9361544998,"Cumulative cases"
"65",11,"I","5% detected, Asymp RR=0.25",12641.0545152269,"Total",22011.2516598538,"Cumulative cases"
"66",11,"I","5% detected, Asymp RR=0.5",8078.97805167223,"Total",14327.9085906455,"Cumulative cases"
"67",12,"I","15% detected, Asymp RR=0.25",4306.32391003429,"Total",7511.02534004962,"Cumulative cases"
"68",12,"I","15% detected, Asymp RR=0.5",3102.88615092906,"Total",5518.51643157245,"Cumulative cases"
"69",12,"I","2% detected, Asymp RR=0.25",40928.9824636115,"Total",71379.2253584835,"Cumulative cases"
"70",12,"I","2% detected, Asymp RR=0.5",28546.0016209374,"Total",50758.8787527187,"Cumulative cases"
"71",12,"I","5% detected, Asymp RR=0.25",15347.2263066964,"Total",26767.4427580218,"Cumulative cases"
"72",12,"I","5% detected, Asymp RR=0.5",10069.3924778498,"Total",17907.5095734335,"Cumulative cases"
"73",13,"I","15% detected, Asymp RR=0.25",5220.95450707655,"Total",9119.52606969374,"Cumulative cases"
"74",13,"I","15% detected, Asymp RR=0.5",3863.6126394052,"Total",6888.38878972664,"Cumulative cases"
"75",13,"I","2% detected, Asymp RR=0.25",49524.5306827196,"Total",86492.8666788679,"Cumulative cases"
"76",13,"I","2% detected, Asymp RR=0.5",35485.1658850067,"Total",63249.3587139186,"Cumulative cases"
"77",13,"I","5% detected, Asymp RR=0.25",18595.8134504272,"Total",32480.2024179447,"Cumulative cases"
"78",13,"I","5% detected, Asymp RR=0.5",12532.3303933985,"Total",22342.1233904809,"Cumulative cases"
"79",14,"I","15% detected, Asymp RR=0.25",6320.25564620063,"Total",11053.7144592488,"Cumulative cases"
"80",14,"I","15% detected, Asymp RR=0.5",4805.8960998632,"Total",8586.91572003417,"Cumulative cases"
"81",14,"I","2% detected, Asymp RR=0.25",59808.1354544362,"Total",104582.442121,"Cumulative cases"
"82",14,"I","2% detected, Asymp RR=0.5",44046.8428541772,"Total",78674.0966446744,"Cumulative cases"
"83",14,"I","5% detected, Asymp RR=0.25",22494.8819772832,"Total",39340.0279368018,"Cumulative cases"
"84",14,"I","5% detected, Asymp RR=0.5",15579.7997358302,"Total",27834.5791346511,"Cumulative cases"
"85",15,"I","15% detected, Asymp RR=0.25",7641.55010968033,"Total",13379.4005313372,"Cumulative cases"
"86",15,"I","15% detected, Asymp RR=0.5",5973.1717278781,"Total",10692.7944498217,"Cumulative cases"
"87",15,"I","2% detected, Asymp RR=0.25",72099.7044088961,"Total",126211.443028503,"Cumulative cases"
"88",15,"I","2% detected, Asymp RR=0.5",54601.1866012907,"Total",97702.1142579797,"Cumulative cases"
"89",15,"I","5% detected, Asymp RR=0.25",27173.4197661237,"Total",47574.2895259578,"Cumulative cases"
"90",15,"I","5% detected, Asymp RR=0.5",19349.8587114499,"Total",34634.8506925569,"Cumulative cases"
"91",16,"I","15% detected, Asymp RR=0.25",9229.62691790082,"Total",16175.5599074055,"Cumulative cases"
"92",16,"I","15% detected, Asymp RR=0.5",7419.19118792717,"Total",13303.4139759877,"Cumulative cases"
"93",16,"I","2% detected, Asymp RR=0.25",86773.9168981038,"Total",152039.674121133,"Cumulative cases"
"94",16,"I","2% detected, Asymp RR=0.5",67596.8264378033,"Total",121143.713181011,"Cumulative cases"
"95",16,"I","5% detected, Asymp RR=0.25",32785.1092598253,"Total",57453.8695929601,"Cumulative cases"
"96",16,"I","5% detected, Asymp RR=0.5",24012.3976277835,"Total",43050.4925071339,"Cumulative cases"
"97",17,"I","15% detected, Asymp RR=0.25",11138.2024808095,"Total",19536.9090663331,"Cumulative cases"
"98",17,"I","15% detected, Asymp RR=0.5",9210.43229773579,"Total",16539.2170577209,"Cumulative cases"
"99",17,"I","2% detected, Asymp RR=0.25",104267.085432021,"Total",182835.228870941,"Cumulative cases"
"100",17,"I","2% detected, Asymp RR=0.5",83574.3866804073,"Total",149974.471800702,"Cumulative cases"
"101",17,"I","5% detected, Asymp RR=0.25",39512.6712394017,"Total",69300.8030809886,"Cumulative cases"
"102",17,"I","5% detected, Asymp RR=0.5",29776.0640077428,"Total",53459.1227346004,"Cumulative cases"
"103",18,"I","15% detected, Asymp RR=0.25",13431.6552290613,"Total",23576.9621952769,"Cumulative cases"
"104",18,"I","15% detected, Asymp RR=0.5",11429.0507446317,"Total",20549.0410487658,"Cumulative cases"
"105",18,"I","2% detected, Asymp RR=0.25",125083.771711524,"Total",219485.98504015,"Cumulative cases"
"106",18,"I","2% detected, Asymp RR=0.5",103180.693821947,"Total",185360.245835341,"Cumulative cases"
"107",18,"I","5% detected, Asymp RR=0.25",47572.8087530172,"Total",83496.9675782793,"Cumulative cases"
"108",18,"I","5% detected, Asymp RR=0.5",36896.4761847906,"Total",66323.2040274653,"Cumulative cases"
"109",19,"I","15% detected, Asymp RR=0.25",16187.0780782523,"Total",28431.6475114739,"Cumulative cases"
"110",19,"I","15% detected, Asymp RR=0.5",14176.4837082495,"Total",25516.6346615894,"Cumulative cases"
"111",19,"I","2% detected, Asymp RR=0.25",149802.541054752,"Total",263009.5190477,"Cumulative cases"
"112",19,"I","2% detected, Asymp RR=0.5",127182.714981479,"Total",228681.34314222,"Cumulative cases"
"113",19,"I","5% detected, Asymp RR=0.25",57221.754450563,"Total",100493.825355488,"Cumulative cases"
"114",19,"I","5% detected, Asymp RR=0.5",45685.8433603479,"Total",82207.3166179406,"Cumulative cases"
"115",20,"I","15% detected, Asymp RR=0.25",19496.6977676888,"Total",34263.5690562804,"Cumulative cases"
"116",20,"I","15% detected, Asymp RR=0.5",17577.8312811366,"Total",31668.575685223,"Cumulative cases"
"117",20,"I","2% detected, Asymp RR=0.25",179079.975698815,"Total",314559.871197599,"Cumulative cases"
"118",20,"I","2% detected, Asymp RR=0.5",156479.651467957,"Total",281552.895582507,"Cumulative cases"
"119",20,"I","5% detected, Asymp RR=0.25",68761.3812796242,"Total",120823.141851676,"Cumulative cases"
"120",20,"I","5% detected, Asymp RR=0.5",56524.0478148101,"Total",101797.996672259,"Cumulative cases"
"121",21,"I","15% detected, Asymp RR=0.25",23470.7135457128,"Total",41267.0058071298,"Cumulative cases"
"122",21,"I","15% detected, Asymp RR=0.5",21787.1559917731,"Total",39283.8391474256,"Cumulative cases"
"123",21,"I","2% detected, Asymp RR=0.25",213651.750123518,"Total",375429.033163724,"Cumulative cases"
"124",21,"I","2% detected, Asymp RR=0.5",192110.783953236,"Total",345836.934021669,"Cumulative cases"
"125",21,"I","5% detected, Asymp RR=0.25",82545.7693320252,"Total",145108.485031361,"Cumulative cases"
"126",21,"I","5% detected, Asymp RR=0.5",69871.1283435915,"Total",125925.989393547,"Cumulative cases"
"127",22,"I","15% detected, Asymp RR=0.25",28240.6091499333,"Total",49673.7422674659,"Cumulative cases"
"128",22,"I","15% detected, Asymp RR=0.5",26993.8506817633,"Total",48705.2809775134,"Cumulative cases"
"129",22,"I","2% detected, Asymp RR=0.25",254329.220075719,"Total",447040.411005353,"Cumulative cases"
"130",22,"I","2% detected, Asymp RR=0.5",235255.646420479,"Total",423639.828269439,"Cumulative cases"
"131",22,"I","5% detected, Asymp RR=0.25",98988.02313061,"Total",174077.134290119,"Cumulative cases"
"132",22,"I","5% detected, Asymp RR=0.5",86280.9074036992,"Total",155590.393966194,"Cumulative cases"
"133",23,"I","15% detected, Asymp RR=0.25",33962.9901067027,"Total",59759.8208990248,"Cumulative cases"
"134",23,"I","15% detected, Asymp RR=0.5",33430.225625556,"Total",60353.2997519376,"Cumulative cases"
"135",23,"I","2% detected, Asymp RR=0.25",301989.635025775,"Total",530930.920493588,"Cumulative cases"
"136",23,"I","2% detected, Asymp RR=0.5",287221.987519399,"Total",517286.773121959,"Cumulative cases"
"137",23,"I","5% detected, Asymp RR=0.25",118566.994528179,"Total",208571.779861187,"Cumulative cases"
"138",23,"I","5% detected, Asymp RR=0.5",106415.194918066,"Total",191983.59622171,"Cumulative cases"
"139",24,"I","15% detected, Asymp RR=0.25",40823.990721863,"Total",71853.2927110135,"Cumulative cases"
"140",24,"I","15% detected, Asymp RR=0.5",41380.4496483966,"Total",74741.9045954049,"Cumulative cases"
"141",24,"I","2% detected, Asymp RR=0.25",357557.830911224,"Total",628717.939743955,"Cumulative cases"
"142",24,"I","2% detected, Asymp RR=0.5",349415.985557183,"Total",629263.326157755,"Cumulative cases"
"143",24,"I","5% detected, Asymp RR=0.25",141833.378354062,"Total",249561.059498341,"Cumulative cases"
"144",24,"I","5% detected, Asymp RR=0.5",131057.541744141,"Total",236515.028047668,"Cumulative cases"
"145",25,"I","15% detected, Asymp RR=0.25",49044.2792987192,"Total",86343.0136391874,"Cumulative cases"
"146",25,"I","15% detected, Asymp RR=0.5",51190.9358447955,"Total",92497.3297667861,"Cumulative cases"
"147",25,"I","2% detected, Asymp RR=0.25",421977.219799958,"Total",742047.298064766,"Cumulative cases"
"148",25,"I","2% detected, Asymp RR=0.5",423288.732068566,"Total",762113.423419689,"Cumulative cases"
"149",25,"I","5% detected, Asymp RR=0.25",169414.404789836,"Total",298147.548031932,"Cumulative cases"
"150",25,"I","5% detected, Asymp RR=0.5",161124.869194824,"Total",290830.59787342,"Cumulative cases"
"151",26,"I","15% detected, Asymp RR=0.25",58884.6616965745,"Total",103688.483214429,"Cumulative cases"
"152",26,"I","15% detected, Asymp RR=0.5",63282.1740913438,"Total",114379.165749146,"Cumulative cases"
"153",26,"I","2% detected, Asymp RR=0.25",496168.232194541,"Total",872519.115820631,"Cumulative cases"
"154",26,"I","2% detected, Asymp RR=0.5",510253.717284734,"Total",918284.983684561,"Cumulative cases"
"155",26,"I","5% detected, Asymp RR=0.25",202016.054054469,"Total",355571.287720257,"Cumulative cases"
"156",26,"I","5% detected, Asymp RR=0.5",197674.447683413,"Total",356823.075764647,"Cumulative cases"
"157",27,"I","15% detected, Asymp RR=0.25",70652.237244527,"Total",124430.639403587,"Cumulative cases"
"158",27,"I","15% detected, Asymp RR=0.5",78161.8572495898,"Total",141303.681064125,"Cumulative cases"
"159",27,"I","2% detected, Asymp RR=0.25",580973.276495332,"Total",1021589.96362364,"Cumulative cases"
"160",27,"I","2% detected, Asymp RR=0.5",611572.714388184,"Total",1099919.55444701,"Cumulative cases"
"161",27,"I","5% detected, Asymp RR=0.25",240421.378191286,"Total",423206.347059718,"Cumulative cases"
"162",27,"I","5% detected, Asymp RR=0.5",241902.660644716,"Total",436626.846549158,"Cumulative cases"
"163",28,"I","15% detected, Asymp RR=0.25",84706.9908420495,"Total",149203.398051813,"Cumulative cases"
"164",28,"I","15% detected, Asymp RR=0.5",96438.8962507138,"Total",174368.534623941,"Cumulative cases"
"165",28,"I","2% detected, Asymp RR=0.25",677088.922214416,"Total",1190452.76360411,"Cumulative cases"
"166",28,"I","2% detected, Asymp RR=0.5",728212.740831422,"Total",1308592.57310517,"Cumulative cases"
"167",28,"I","5% detected, Asymp RR=0.25",285483.165662393,"Total",502547.284855846,"Cumulative cases"
"168",28,"I","5% detected, Asymp RR=0.5",295130.876513021,"Total",532588.483514755,"Cumulative cases"
"169",29,"I","15% detected, Asymp RR=0.25",101468.602289597,"Total",178745.542023304,"Cumulative cases"
"170",29,"I","15% detected, Asymp RR=0.5",118837.535360129,"Total",214877.360767667,"Cumulative cases"
"171",29,"I","2% detected, Asymp RR=0.25",784988.438019428,"Total",1379900.18464103,"Cumulative cases"
"172",29,"I","2% detected, Asymp RR=0.5",860684.780934477,"Total",1545025.68261726,"Cumulative cases"
"173",29,"I","5% detected, Asymp RR=0.25",338108.892176421,"Total",595181.892235143,"Cumulative cases"
"174",29,"I","5% detected, Asymp RR=0.5",358772.809254439,"Total",647203.026163507,"Cumulative cases"
"175",30,"I","15% detected, Asymp RR=0.25",121423.110061718,"Total",213912.309099864,"Cumulative cases"
"176",30,"I","15% detected, Asymp RR=0.5",146210.224726664,"Total",264361.681362772,"Cumulative cases"
"177",30,"I","2% detected, Asymp RR=0.25",904840.844104696,"Total",1590182.65070967,"Cumulative cases"
"178",30,"I","2% detected, Asymp RR=0.5",1008884.60540311,"Total",1808809.85260216,"Cumulative cases"
"179",30,"I","5% detected, Asymp RR=0.25",399235.772537532,"Total",702746.37927819,"Cumulative cases"
"180",30,"I","5% detected, Asymp RR=0.5",434277.418988463,"Total",783005.50763123,"Cumulative cases"
"181",31,"I","15% detected, Asymp RR=0.25",145128.873366023,"Total",255685.68415634,"Cumulative cases"
"182",31,"I","15% detected, Asymp RR=0.5",179547.152839972,"Total",324596.212813108,"Cumulative cases"
"183",31,"I","2% detected, Asymp RR=0.25",1036435.75929269,"Total",1820877.55706807,"Cumulative cases"
"184",31,"I","2% detected, Asymp RR=0.5",1171964.63195218,"Total",2098192.59967884,"Cumulative cases"
"185",31,"I","5% detected, Asymp RR=0.25",469793.914516109,"Total",826859.534387918,"Cumulative cases"
"186",31,"I","5% detected, Asymp RR=0.5",523042.341344603,"Total",942409.378105562,"Cumulative cases"
"187",32,"I","15% detected, Asymp RR=0.25",173221.027332003,"Total",305181.959767972,"Cumulative cases"
"188",32,"I","15% detected, Asymp RR=0.5",219979.38551544,"Total",397601.89963087,"Cumulative cases"
"189",32,"I","2% detected, Asymp RR=0.25",1179125.68683198,"Total",2070790.34916584,"Cumulative cases"
"190",32,"I","2% detected, Asymp RR=0.5",1348269.33410065,"Total",2409987.02334357,"Cumulative cases"
"191",32,"I","5% detected, Asymp RR=0.25",550656.260879119,"Total",969033.638888437,"Cumulative cases"
"192",32,"I","5% detected, Asymp RR=0.5",626295.813586371,"Total",1127489.39432679,"Cumulative cases"
"193",33,"I","15% detected, Asymp RR=0.25",206413.323127667,"Total",363654.593791572,"Cumulative cases"
"194",33,"I","15% detected, Asymp RR=0.5",268771.461502015,"Total",485629.050663491,"Cumulative cases"
"195",33,"I","2% detected, Asymp RR=0.25",1331797.93398367,"Total",2337908.89596239,"Cumulative cases"
"196",33,"I","2% detected, Asymp RR=0.5",1535361.36589758,"Total",2739648.10421588,"Cumulative cases"
"197",33,"I","5% detected, Asymp RR=0.25",642575.368563059,"Total",1130562.37878744,"Cumulative cases"
"198",33,"I","5% detected, Asymp RR=0.5",744950.711590001,"Total",1339717.30799608,"Cumulative cases"
"199",34,"I","15% detected, Asymp RR=0.25",245495.902320742,"Total",432489.789656177,"Cumulative cases"
"200",34,"I","15% detected, Asymp RR=0.5",327298.231708107,"Total",591111.123918821,"Cumulative cases"
"201",34,"I","2% detected, Asymp RR=0.25",1492886.216505,"Total",2619428.55205549,"Cumulative cases"
"202",34,"I","2% detected, Asymp RR=0.5",1730149.98192089,"Total",3081531.29971095,"Cumulative cases"
"203",34,"I","5% detected, Asymp RR=0.25",746109.21409322,"Total",1312389.82577912,"Cumulative cases"
"204",34,"I","5% detected, Asymp RR=0.5",879442.60383514,"Total",1579674.00605488,"Cumulative cases"
"205",35,"I","15% detected, Asymp RR=0.25",291327.209400849,"Total",513191.621430567,"Cumulative cases"
"206",35,"I","15% detected, Asymp RR=0.5",397000.04378879,"Total",716578.662479828,"Cumulative cases"
"207",35,"I","2% detected, Asymp RR=0.25",1660426.88865794,"Total",2911856.0376648,"Cumulative cases"
"208",35,"I","2% detected, Asymp RR=0.5",1929110.60969424,"Total",3429306.75942177,"Cumulative cases"
"209",35,"I","5% detected, Asymp RR=0.25",861541.046704957,"Total",1514969.59186575,"Cumulative cases"
"210",35,"I","5% detected, Asymp RR=0.5",1029573.38992065,"Total",1846778.96890221,"Cumulative cases"
"211",36,"I","15% detected, Asymp RR=0.25",344817.967687455,"Total",607353.046573682,"Cumulative cases"
"212",36,"I","15% detected, Asymp RR=0.5",479310.621549637,"Total",864523.666687526,"Cumulative cases"
"213",36,"I","2% detected, Asymp RR=0.25",1832157.40672482,"Total",3211187.17368723,"Cumulative cases"
"214",36,"I","2% detected, Asymp RR=0.5",2128561.92184024,"Total",3776463.46434884,"Cumulative cases"
"215",36,"I","5% detected, Asymp RR=0.25",988801.450881988,"Total",1738128.79262025,"Cumulative cases"
"216",36,"I","5% detected, Asymp RR=0.5",1194390.22836866,"Total",2139091.45522871,"Cumulative cases"
"217",37,"I","15% detected, Asymp RR=0.25",406905.043135392,"Total",716608.993785292,"Cumulative cases"
"218",37,"I","15% detected, Asymp RR=0.5",575553.907100539,"Total",1037208.63801988,"Cumulative cases"
"219",37,"I","2% detected, Asymp RR=0.25",2005646.79048738,"Total",3513139.68682116,"Cumulative cases"
"220",37,"I","2% detected, Asymp RR=0.5",2324952.93233706,"Total",4116816.20668206,"Cumulative cases"
"221",37,"I","5% detected, Asymp RR=0.25",1127403.49864287,"Total",1980956.16966093,"Cumulative cases"
"222",37,"I","5% detected, Asymp RR=0.5",1372131.99838528,"Total",2453240.27850962,"Cumulative cases"
"223",38,"I","15% detected, Asymp RR=0.25",478513.252782913,"Total",842568.157347964,"Cumulative cases"
"224",38,"I","15% detected, Asymp RR=0.5",686810.464924207,"Total",1236422.92601956,"Cumulative cases"
"225",38,"I","2% detected, Asymp RR=0.25",2178441.7091263,"Total",3813411.68231759,"Cumulative cases"
"226",38,"I","2% detected, Asymp RR=0.5",2515112.69245028,"Total",4444932.52102306,"Cumulative cases"
"227",38,"I","5% detected, Asymp RR=0.25",1276403.16492099,"Total",2241735.83814992,"Cumulative cases"
"228",38,"I","5% detected, Asymp RR=0.5",1560268.83951523,"Total",2784524.3115099,"Cumulative cases"
"229",39,"I","15% detected, Asymp RR=0.25",560503.925096032,"Total",986721.500125852,"Cumulative cases"
"230",39,"I","15% detected, Asymp RR=0.5",813761.148774278,"Total",1463202.31805926,"Cumulative cases"
"231",39,"I","2% detected, Asymp RR=0.25",2348209.19958868,"Total",4107932.12069259,"Cumulative cases"
"232",39,"I","2% detected, Asymp RR=0.5",2696428.23599518,"Total",4756423.23350692,"Cumulative cases"
"233",39,"I","5% detected, Asymp RR=0.25",1434396.06511056,"Total",2517945.92201958,"Cumulative cases"
"234",39,"I","5% detected, Asymp RR=0.5",1755643.54921471,"Total",3127193.49737783,"Cumulative cases"
"235",40,"I","15% detected, Asymp RR=0.25",653610.461683426,"Total",1150328.06697574,"Cumulative cases"
"236",40,"I","15% detected, Asymp RR=0.5",956524.992029959,"Total",1717544.61365457,"Cumulative cases"
"237",40,"I","2% detected, Asymp RR=0.25",2512858.62694136,"Total",4393072.85755369,"Cumulative cases"
"238",40,"I","2% detected, Asymp RR=0.5",2866936.46695195,"Total",5048077.28512451,"Cumulative cases"
"239",40,"I","5% detected, Asymp RR=0.25",1599557.51776467,"Total",2806333.92683782,"Cumulative cases"
"240",40,"I","5% detected, Asymp RR=0.5",1954700.5336406,"Total",3474878.10052955,"Cumulative cases"
