"","time","comp","scenario","val2","var","value","lab"
"1",1,"I","15% detected, Asymp RR=0.25",1082.25,"Total",1831.5,"Cumulative cases"
"2",1,"I","15% detected, Asymp RR=0.5",731.25,"Total",1237.5,"Cumulative cases"
"3",1,"I","2% detected, Asymp RR=0.25",8336.25,"Total",14107.5,"Cumulative cases"
"4",1,"I","2% detected, Asymp RR=0.5",5703.75,"Total",9652.5,"Cumulative cases"
"5",1,"I","5% detected, Asymp RR=0.25",3246.75,"Total",5494.5,"Cumulative cases"
"6",1,"I","5% detected, Asymp RR=0.5",2223,"Total",3762,"Cumulative cases"
"7",2,"I","15% detected, Asymp RR=0.25",1330.57435945275,"Total",2317.79841278365,"Cumulative cases"
"8",2,"I","15% detected, Asymp RR=0.5",904.141036142309,"Total",1577.65785068177,"Cumulative cases"
"9",2,"I","2% detected, Asymp RR=0.25",10248.3085184476,"Total",17851.8223976401,"Cumulative cases"
"10",2,"I","2% detected, Asymp RR=0.5",7051.91119402473,"Total",12304.9047295573,"Cumulative cases"
"11",2,"I","5% detected, Asymp RR=0.25",3991.64021277278,"Total",6953.22137084342,"Cumulative cases"
"12",2,"I","5% detected, Asymp RR=0.5",2748.5429250233,"Total",4795.98243437727,"Cumulative cases"
"13",3,"I","15% detected, Asymp RR=0.25",1637.88788954086,"Total",2933.51253630796,"Cumulative cases"
"14",3,"I","15% detected, Asymp RR=0.5",1126.73628728192,"Total",2027.57099232498,"Cumulative cases"
"15",3,"I","2% detected, Asymp RR=0.25",12612.8851047706,"Total",22589.0756670603,"Cumulative cases"
"16",3,"I","2% detected, Asymp RR=0.5",8786.69038210575,"Total",15811.0945183833,"Cumulative cases"
"17",3,"I","5% detected, Asymp RR=0.25",4913.28209455943,"Total",8799.73454557541,"Cumulative cases"
"18",3,"I","5% detected, Asymp RR=0.5",3425.06112810119,"Total",6163.35164266201,"Cumulative cases"
"19",4,"I","15% detected, Asymp RR=0.25",2001.61854005604,"Total",3672.44334199174,"Cumulative cases"
"20",4,"I","15% detected, Asymp RR=0.5",1397.9127052399,"Total",2584.38622409547,"Cumulative cases"
"21",4,"I","2% detected, Asymp RR=0.25",15409.3280013738,"Total",28269.7115000783,"Cumulative cases"
"22",4,"I","2% detected, Asymp RR=0.5",10898.7502643825,"Total",20147.5478706488,"Cumulative cases"
"23",4,"I","5% detected, Asymp RR=0.25",6003.86195290714,"Total",11015.233492616,"Cumulative cases"
"24",4,"I","5% detected, Asymp RR=0.5",4249.07290438067,"Total",7855.28552937237,"Cumulative cases"
"25",5,"I","15% detected, Asymp RR=0.25",2423.54569604093,"Total",4537.76763252238,"Cumulative cases"
"26",5,"I","15% detected, Asymp RR=0.5",1720.65468277324,"Total",3254.20077964949,"Cumulative cases"
"27",5,"I","2% detected, Asymp RR=0.25",18650.1094077075,"Total",34915.560483825,"Cumulative cases"
"28",5,"I","2% detected, Asymp RR=0.5",13410.4773838541,"Total",25359.8681349615,"Cumulative cases"
"29",5,"I","5% detected, Asymp RR=0.25",7268.5724457113,"Total",13608.9373763565,"Cumulative cases"
"30",5,"I","5% detected, Asymp RR=0.5",5229.54589327234,"Total",9890.08965979566,"Cumulative cases"
"31",6,"I","15% detected, Asymp RR=0.25",2908.4463534116,"Total",5539.13216140946,"Cumulative cases"
"32",6,"I","15% detected, Asymp RR=0.5",2100.90579629626,"Total",4049.56520260412,"Cumulative cases"
"33",6,"I","2% detected, Asymp RR=0.25",22370.2798523622,"Total",42597.1970864687,"Cumulative cases"
"34",6,"I","2% detected, Asymp RR=0.5",16366.9025930925,"Total",31543.033446401,"Cumulative cases"
"35",6,"I","5% detected, Asymp RR=0.25",8721.54252642632,"Total",16609.3544819987,"Cumulative cases"
"36",6,"I","5% detected, Asymp RR=0.5",6384.39249626319,"Total",12305.5752360682,"Cumulative cases"
"37",7,"I","15% detected, Asymp RR=0.25",3463.36099823774,"Total",6691.06996249024,"Cumulative cases"
"38",7,"I","15% detected, Asymp RR=0.5",2547.01307358057,"Total",4988.2694124372,"Cumulative cases"
"39",7,"I","2% detected, Asymp RR=0.25",26621.6261977422,"Total",51421.3398898164,"Cumulative cases"
"40",7,"I","2% detected, Asymp RR=0.5",19831.1845511088,"Total",38831.5264774013,"Cumulative cases"
"41",7,"I","5% detected, Asymp RR=0.25",10383.605163297,"Total",20059.4670949236,"Cumulative cases"
"42",7,"I","5% detected, Asymp RR=0.5",7738.75839701093,"Total",15155.3200145899,"Cumulative cases"
"43",8,"I","15% detected, Asymp RR=0.25",4097.24654423018,"Total",8012.24383256192,"Cumulative cases"
"44",8,"I","15% detected, Asymp RR=0.5",3069.54649125426,"Total",6092.9421125361,"Cumulative cases"
"45",8,"I","2% detected, Asymp RR=0.25",31469.799064051,"Total",61524.5978187737,"Cumulative cases"
"46",8,"I","2% detected, Asymp RR=0.5",23882.9577981494,"Total",47395.670743936,"Cumulative cases"
"47",8,"I","5% detected, Asymp RR=0.25",12281.2428512993,"Total",24014.4334730396,"Cumulative cases"
"48",8,"I","5% detected, Asymp RR=0.5",9324.44712320303,"Total",18507.3914043726,"Cumulative cases"
"49",9,"I","15% detected, Asymp RR=0.25",4820.85681942908,"Total",9525.17712745056,"Cumulative cases"
"50",9,"I","15% detected, Asymp RR=0.5",3681.33632741202,"Total",7391.12288620887,"Cumulative cases"
"51",9,"I","2% detected, Asymp RR=0.25",36993.0683213021,"Total",73070.7034307495,"Cumulative cases"
"52",9,"I","2% detected, Asymp RR=0.5",28618.2647577887,"Total",57441.3998564906,"Cumulative cases"
"53",9,"I","5% detected, Asymp RR=0.25",14446.1782092562,"Total",28540.6714060073,"Cumulative cases"
"54",9,"I","5% detected, Asymp RR=0.5",11179.9836100194,"Total",22444.4555456935,"Cumulative cases"
"55",10,"I","15% detected, Asymp RR=0.25",5646.76281288142,"Total",11256.284324904,"Cumulative cases"
"56",10,"I","15% detected, Asymp RR=0.5",4397.66550008357,"Total",8915.67068229842,"Cumulative cases"
"57",10,"I","2% detected, Asymp RR=0.25",43282.1044118268,"Total",86249.9467558653,"Cumulative cases"
"58",10,"I","2% detected, Asymp RR=0.5",34150.5924157445,"Total",69212.4192336215,"Cumulative cases"
"59",10,"I","5% detected, Asymp RR=0.25",16915.3970697833,"Total",33715.8692903122,"Cumulative cases"
"60",10,"I","5% detected, Asymp RR=0.5",13351.1534700076,"Total",27064.9182132695,"Cumulative cases"
"61",11,"I","15% detected, Asymp RR=0.25",6589.481059798,"Total",13236.1337310822,"Cumulative cases"
"62",11,"I","15% detected, Asymp RR=0.5",5236.58591299505,"Total",10705.4414304346,"Cumulative cases"
"63",11,"I","2% detected, Asymp RR=0.25",50440.4611630876,"Total",101280.116312846,"Cumulative cases"
"64",11,"I","2% detected, Asymp RR=0.5",40612.6631566635,"Total",82993.9973955769,"Cumulative cases"
"65",11,"I","5% detected, Asymp RR=0.25",19731.4757425721,"Total",39629.6504396596,"Cumulative cases"
"66",11,"I","5% detected, Asymp RR=0.5",15891.8780306011,"Total",32484.7935202784,"Cumulative cases"
"67",12,"I","15% detected, Asymp RR=0.25",7665.67155528049,"Total",15499.8595682541,"Cumulative cases"
"68",12,"I","15% detected, Asymp RR=0.5",6219.32837474542,"Total",12806.1685060287,"Cumulative cases"
"69",12,"I","2% detected, Asymp RR=0.25",58585.408933662,"Total",118408.194441365,"Cumulative cases"
"70",12,"I","2% detected, Asymp RR=0.5",48158.7067429193,"Total",99117.7899338984,"Cumulative cases"
"71",12,"I","5% detected, Asymp RR=0.25",22943.08194074,"Total",46384.610708113,"Cumulative cases"
"72",12,"I","5% detected, Asymp RR=0.5",18865.3417149567,"Total",38840.118362584,"Cumulative cases"
"73",13,"I","15% detected, Asymp RR=0.25",8894.38723715147,"Total",18087.6846393075,"Cumulative cases"
"74",13,"I","15% detected, Asymp RR=0.5",7370.80298030755,"Total",15271.539009083,"Cumulative cases"
"75",13,"I","2% detected, Asymp RR=0.25",67849.0045518352,"Total",137912.561601189,"Cumulative cases"
"76",13,"I","2% detected, Asymp RR=0.5",56967.1257144994,"Total",117967.501406876,"Cumulative cases"
"77",13,"I","5% detected, Asymp RR=0.25",26605.6203819042,"Total",54097.6664384971,"Cumulative cases"
"78",13,"I","5% detected, Asymp RR=0.5",22345.371687361,"Total",46289.9110147604,"Cumulative cases"
"79",14,"I","15% detected, Asymp RR=0.25",10297.3805059952,"Total",21045.5650252969,"Cumulative cases"
"80",14,"I","15% detected, Asymp RR=0.5",8720.20473951033,"Total",18164.4975262713,"Cumulative cases"
"81",14,"I","2% detected, Asymp RR=0.25",78379.3318263972,"Total",160105.565993098,"Cumulative cases"
"82",14,"I","2% detected, Asymp RR=0.5",67243.5236980172,"Total",139985.30931239,"Cumulative cases"
"83",14,"I","5% detected, Asymp RR=0.25",30782.0163024932,"Total",62901.6975175834,"Cumulative cases"
"84",14,"I","5% detected, Asymp RR=0.5",26418.0675006137,"Total",55019.6671016075,"Cumulative cases"
"85",15,"I","15% detected, Asymp RR=0.25",11899.462373723,"Total",24425.9470603717,"Cumulative cases"
"86",15,"I","15% detected, Asymp RR=0.5",10301.727810866,"Total",21558.7841782072,"Cumulative cases"
"87",15,"I","2% detected, Asymp RR=0.25",90341.8223692426,"Total",185336.263448057,"Cumulative cases"
